pharmacy,specialty,medicine,stock_checks,stock_shortages,availability_rate
Nabha Chemists,general,Paracetamol,90,7,0.922
Nabha Chemists,general,ORS,90,7,0.922
Nabha Chemists,general,Antacid,90,7,0.922
Nabha Chemists,general,Cetirizine,90,7,0.922
Bhadson Medical Hall,general,Paracetamol,90,7,0.922
Bhadson Medical Hall,general,ORS,90,7,0.922
Bhadson Medical Hall,general,Antacid,90,7,0.922
Bhadson Medical Hall,general,Cetirizine,90,7,0.922
Amargarh Pharmacy,general,Paracetamol,90,7,0.922
Amargarh Pharmacy,general,ORS,90,7,0.922
Amargarh Pharmacy,general,Antacid,90,7,0.922
Amargarh Pharmacy,general,Cetirizine,90,7,0.922
Dhanaula Store,general,Paracetamol,90,7,0.922
Dhanaula Store,general,ORS,90,7,0.922
Dhanaula Store,general,Antacid,90,7,0.922
Dhanaula Store,general,Cetirizine,90,7,0.922
Kal Majra Clinic Store,general,Paracetamol,90,7,0.922
Kal Majra Clinic Store,general,ORS,90,7,0.922
Kal Majra Clinic Store,general,Antacid,90,7,0.922
Kal Majra Clinic Store,general,Cetirizine,90,7,0.922
SevaMitra Hub Pharmacy,general,Paracetamol,90,7,0.922
SevaMitra Hub Pharmacy,general,ORS,90,7,0.922
SevaMitra Hub Pharmacy,general,Antacid,90,7,0.922
SevaMitra Hub Pharmacy,general,Cetirizine,90,7,0.922
Nabha Chemists,cardiology,Amlodipine,90,19,0.789
Nabha Chemists,cardiology,Aspirin,90,19,0.789
Nabha Chemists,cardiology,Atorvastatin,90,19,0.789
Bhadson Medical Hall,cardiology,Amlodipine,90,19,0.789
Bhadson Medical Hall,cardiology,Aspirin,90,19,0.789
Bhadson Medical Hall,cardiology,Atorvastatin,90,19,0.789
Amargarh Pharmacy,cardiology,Amlodipine,90,19,0.789
Amargarh Pharmacy,cardiology,Aspirin,90,19,0.789
Amargarh Pharmacy,cardiology,Atorvastatin,90,19,0.789
Dhanaula Store,cardiology,Amlodipine,90,19,0.789
Dhanaula Store,cardiology,Aspirin,90,19,0.789
Dhanaula Store,cardiology,Atorvastatin,90,19,0.789
Kal Majra Clinic Store,cardiology,Amlodipine,90,19,0.789
Kal Majra Clinic Store,cardiology,Aspirin,90,19,0.789
Kal Majra Clinic Store,cardiology,Atorvastatin,90,19,0.789
SevaMitra Hub Pharmacy,cardiology,Amlodipine,90,19,0.789
SevaMitra Hub Pharmacy,cardiology,Aspirin,90,19,0.789
SevaMitra Hub Pharmacy,cardiology,Atorvastatin,90,19,0.789
Nabha Chemists,pediatrics,Pediatric syrup,90,12,0.867
Nabha Chemists,pediatrics,ORS,90,12,0.867
Nabha Chemists,pediatrics,Paracetamol syrup,90,12,0.867
Bhadson Medical Hall,pediatrics,Pediatric syrup,90,12,0.867
Bhadson Medical Hall,pediatrics,ORS,90,12,0.867
Bhadson Medical Hall,pediatrics,Paracetamol syrup,90,12,0.867
Amargarh Pharmacy,pediatrics,Pediatric syrup,90,12,0.867
Amargarh Pharmacy,pediatrics,ORS,90,12,0.867
Amargarh Pharmacy,pediatrics,Paracetamol syrup,90,12,0.867
Dhanaula Store,pediatrics,Pediatric syrup,90,12,0.867
Dhanaula Store,pediatrics,ORS,90,12,0.867
Dhanaula Store,pediatrics,Paracetamol syrup,90,12,0.867
Kal Majra Clinic Store,pediatrics,Pediatric syrup,90,12,0.867
Kal Majra Clinic Store,pediatrics,ORS,90,12,0.867
Kal Majra Clinic Store,pediatrics,Paracetamol syrup,90,12,0.867
